Domain,Project,Task,Details,Start,End,TimeZone,Duration,Decimal Duration,Project-Extra-1,Project-Extra-2,Task-Extra-1,Task-Extra-2
work,administrative,mail,,2019-01-02 09:23,2019-01-02 09:38,UTC+1:00,0:15,0.25,,,,
work,research,writing,,2019-01-02 09:38,2019-01-02 12:24,UTC+1:00,2:46,2.7666666666666666,,,,
other,break,lunch,,2019-01-02 12:24,2019-01-02 13:05,UTC+1:00,0:41,0.6833333333333333,,,,
work,research,writing,,2019-01-02 13:05,2019-01-02 18:07,UTC+1:00,5:02,5.033333333333333,,,,
work,administrative,mail,,2019-01-03 10:13,2019-01-03 10:20,UTC+1:00,0:07,0.11666666666666667,,,,
work,research,teaching,,2019-01-03 10:20,2019-01-03 12:30,UTC+1:00,2:10,2.1666666666666665,,,,
other,break,lunch,,2019-01-03 12:30,2019-01-03 14:15,UTC+1:00,1:45,1.75,,,,
work,research,thesis,,2019-01-03 14:15,2019-01-03 17:40,UTC+1:00,3:25,3.4166666666666665,,,,
work,administrative,mail,,2019-01-04 09:58,2019-01-04 10:10,UTC+1:00,0:12,0.2,,,,
work,research,writing,,2019-01-04 10:10,2019-01-04 12:28,UTC+1:00,2:18,2.3,,,,
other,break,lunch,,2019-01-04 12:28,2019-01-04 13:06,UTC+1:00,0:38,0.6333333333333333,,,,
work,research,writing,,2019-01-04 13:06,2019-01-04 13:55,UTC+1:00,0:49,0.8166666666666667,,,,
work,research,thesis,,2019-01-04 13:55,2019-01-04 16:50,UTC+1:00,2:55,2.9166666666666665,,,,
work,administrative,mail,,2019-01-07 08:49,2019-01-07 09:02,UTC+1:00,0:13,0.21666666666666667,,,,
work,industry,projectA,,2019-01-07 09:02,2019-01-07 10:02,UTC+1:00,1:00,1.0,,,,
work,public,meeting,,2019-01-07 10:02,2019-01-07 10:28,UTC+1:00,0:26,0.43333333333333335,,,,
work,industry,projectA,,2019-01-07 10:28,2019-01-07 10:47,UTC+1:00,0:19,0.31666666666666665,,,,
work,research,student,,2019-01-07 10:47,2019-01-07 11:08,UTC+1:00,0:21,0.35,,,,
work,industry,projectA,,2019-01-07 11:08,2019-01-07 12:21,UTC+1:00,1:13,1.2166666666666666,,,,
other,break,lunch,,2019-01-07 12:21,2019-01-07 13:03,UTC+1:00,0:42,0.7,,,,
work,administrative,meeting,,2019-01-07 13:03,2019-01-07 14:05,UTC+1:00,1:02,1.0333333333333334,,,,
work,research,student,,2019-01-07 14:05,2019-01-07 14:40,UTC+1:00,0:35,0.5833333333333334,,,,
work,industry,projectA,,2019-01-07 14:40,2019-01-07 17:20,UTC+1:00,2:40,2.6666666666666665,,,,
work,research,student,,2019-01-07 17:20,2019-01-07 17:43,UTC+1:00,0:23,0.38333333333333336,,,,
work,industry,projectA,,2019-01-07 17:43,2019-01-07 18:44,UTC+1:00,1:01,1.0166666666666666,,,,
work,industry,projectA,,2019-01-08 09:35,2019-01-08 12:19,UTC+1:00,2:44,2.7333333333333334,,,,
other,break,lunch,,2019-01-08 12:19,2019-01-08 12:52,UTC+1:00,0:33,0.55,,,,
work,administrative,paperwork,,2019-01-08 12:52,2019-01-08 13:02,UTC+1:00,0:10,0.16666666666666666,,,,
work,industry,projectA,,2019-01-08 13:02,2019-01-08 14:04,UTC+1:00,1:02,1.0333333333333334,,,,
work,research,writing,,2019-01-08 14:04,2019-01-08 14:55,UTC+1:00,0:51,0.85,,,,
work,public,meeting,,2019-01-08 14:55,2019-01-08 15:40,UTC+1:00,0:45,0.75,,,,
work,research,student,,2019-01-08 15:40,2019-01-08 17:10,UTC+1:00,1:30,1.5,,,,
work,industry,projectA,,2019-01-08 17:10,2019-01-08 17:24,UTC+1:00,0:14,0.23333333333333334,,,,
work,public,lab course,,2019-01-09 09:42,2019-01-09 10:22,UTC+1:00,0:40,0.6666666666666666,,,,
work,administrative,paperwork,,2019-01-09 10:20,2019-01-09 10:50,UTC+1:00,0:30,0.5,,,,
work,research,writing,,2019-01-09 10:50,2019-01-09 12:25,UTC+1:00,1:35,1.5833333333333333,,,,
other,break,lunch,,2019-01-09 12:25,2019-01-09 13:00,UTC+1:00,0:35,0.5833333333333334,,,,
work,industry,projectA,,2019-01-09 13:00,2019-01-09 13:59,UTC+1:00,0:59,0.9833333333333333,,,,
work,research,writing,,2019-01-09 13:59,2019-01-09 15:20,UTC+1:00,1:21,1.35,,,,
work,administrative,mail,,2019-01-09 15:20,2019-01-09 15:41,UTC+1:00,0:21,0.35,,,,
work,research,writing,,2019-01-09 15:41,2019-01-09 18:06,UTC+1:00,2:25,2.4166666666666665,,,,
work,administrative,mail,,2019-01-10 10:03,2019-01-10 10:07,UTC+1:00,0:04,0.06666666666666667,,,,
work,industry,projectA,,2019-01-10 10:07,2019-01-10 12:23,UTC+1:00,2:16,2.2666666666666666,,,,
other,break,lunch,,2019-01-10 12:23,2019-01-10 13:06,UTC+1:00,0:43,0.7166666666666667,,,,
work,industry,projectA,,2019-01-10 13:06,2019-01-10 13:30,UTC+1:00,0:24,0.4,,,,
work,research,machine learning,,2019-01-10 13:30,2019-01-10 13:59,UTC+1:00,0:29,0.48333333333333334,,,,
work,industry,projectA,,2019-01-10 13:59,2019-01-10 15:00,UTC+1:00,1:01,1.0166666666666666,,,,
work,administrative,meeting,,2019-01-10 15:00,2019-01-10 16:06,UTC+1:00,1:06,1.1,,,,
work,industry,projectA,,2019-01-10 16:06,2019-01-10 18:30,UTC+1:00,2:24,2.4,,,,
work,administrative,mail,,2019-01-11 09:59,2019-01-11 10:16,UTC+1:00,0:17,0.2833333333333333,,,,
work,research,thesis,,2019-01-11 10:16,2019-01-11 12:20,UTC+1:00,2:04,2.066666666666667,,,,
other,break,lunch,,2019-01-11 12:20,2019-01-11 13:44,UTC+1:00,1:24,1.4,,,,
work,administrative,mail,,2019-01-11 13:44,2019-01-11 14:11,UTC+1:00,0:27,0.45,,,,
work,research,thesis,,2019-01-11 14:11,2019-01-11 17:55,UTC+1:00,3:44,3.7333333333333334,,,,
work,research,reading,,2019-01-11 18:10,2019-01-11 18:42,UTC+1:00,0:32,0.5333333333333333,,,,
work,industry,projectB,,2019-01-21 08:50,2019-01-21 09:04,UTC+1:00,0:14,0.23333333333333334,,,,
work,administrative,mail,,2019-01-21 09:04,2019-01-21 09:15,UTC+1:00,0:11,0.18333333333333332,,,,
work,administrative,paperwork,,2019-01-21 09:15,2019-01-21 09:51,UTC+1:00,0:36,0.6,,,,
